_id,scheme,feedback
663c6daec95b950da70ee293,Issue of Free Bus Pass to Differently Abled Person,"Maybe because we also want to get out into the world like able people can. We do have hobbies, you know. Errands to run.\r\nSince a lot of us can’t drive, this is a critical issue. We need to make it better. I’m in the US, and it really needs work."
663c9b5116fcbbb62f73febd,Issue of Free Bus Pass to Differently Abled Person,Good Scheme
663cc25477a8984f1be26316,Issue of Free Bus Pass to Differently Abled Person,"I didn't get any benefit from this scheme because, i had no awareness about it"
663cc316b10e02a2e2a2996a,Issue of Free Bus Pass to Differently Abled Person,"I didn't get any benefit from this scheme because, i had no awareness about it"
663cc44fe19e6aa67f3fc2b4,Issue of Free Bus Pass to Differently Abled Person,Poor service by government
663cc4d23a82aaf87ec5cfec,Issue of Free Bus Pass to Differently Abled Person,
663cd9b5dc185d93f2fdf1b9,Issue of Free Bus Pass to Differently Abled Person,
663ce72065607c390cafa1b5,Issue of Free Bus Pass to Differently Abled Person,"Very weak scheme, never benefitted"
663ce855d899ac1caf0de653,Issue of Free Bus Pass to Differently Abled Person,"Since many of us cannot drive, this is a serious problem. You need to do it better. I'm in the US and he really needs a job."
663e815f20a7b0b283709aff,Atal Mission For Rejuvenation And Urban Transformation,"The Atal Mission has really improved the infrastructure in our city. The roads are smoother, and there's less traffic congestion."
663e81b36ab63a1dfe362c66,Atal Mission For Rejuvenation And Urban Transformation,"Thanks to the Atal Mission, our neighborhood now has better water supply and sanitation facilities. It has made life much easier for us."
663e8236f045b54ab0f5a29d,Atal Mission For Rejuvenation And Urban Transformation,"I don't see much difference in our area after the Atal Mission. The promised development seems to be slow, and there are still many issues with waste management."
663e82724ffde639644e6302,Atal Mission For Rejuvenation And Urban Transformation,"The construction work under the Atal Mission has caused a lot of inconvenience to residents. It's taking too long, and the dust and noise are unbearable."
663e85f857b7374534a26ebc,Atal Mission For Rejuvenation And Urban Transformation,"The construction work under the Atal Mission has caused a lot of inconvenience to residents. It's taking too long, and the dust and noise are unbearable."
